;;;;Kupon Nr 1;Kupon Nr 1;Kupon Nr 1;Kupon Nr 1;Kupon Nr 1;Kupon Nr 2;Kupon Nr 2;Kupon Nr 2;Kupon Nr 2; Kupon Nr 2 ;Kupon Nr 3;Kupon Nr 3;Kupon Nr 3;Kupon Nr 3; Kupon Nr 3 ;Kupon Nr 4;Kupon Nr 4;Kupon Nr 4;Kupon Nr 4; Kupon Nr 4 ;Kupon Nr 5;Kupon Nr 5;Kupon Nr 5;Kupon Nr 5; Kupon Nr 5 ;Kupon Nr 6;Kupon Nr 6;Kupon Nr 6;Kupon Nr 6; Kupon Nr 6 ;Kupon Nr 7;Kupon Nr 7;Kupon Nr 7;Kupon Nr 7; Kupon Nr 7 ;Kupon Nr 8;Kupon Nr 8;Kupon Nr 8;Kupon Nr 8; Kupon Nr 8 ;Kupon Nr 9;Kupon Nr 9;Kupon Nr 9;Kupon Nr 9; Kupon Nr 9 ;Kupon Nr 10;Kupon Nr 10;Kupon Nr 10;Kupon Nr 10; Kupon Nr 10 ;Kupon Nr 11;Kupon Nr 11;Kupon Nr 11;Kupon Nr 11;Kupon Nr 11;Kupon Nr 12;Kupon Nr 12;Kupon Nr 12;Kupon Nr 12; Kupon Nr 12 ;Kupon Nr 13;Kupon Nr 13;Kupon Nr 13;Kupon Nr 13;Kupon Nr 13;Kupon Nr 14;Kupon Nr 14;Kupon Nr 14;Kupon Nr 14; Kupon Nr 14 ;Kupon Nr 15;Kupon Nr 15;Kupon Nr 15;Kupon Nr 15; Kupon Nr 15 ;Kupon Nr 16;Kupon Nr 16;Kupon Nr 16;Kupon Nr 16; Kupon Nr 16 ;Kupon Nr 17;Kupon Nr 17;Kupon Nr 17;Kupon Nr 17; Kupon Nr 17 ;Kupon Nr 18;Kupon Nr 18;Kupon Nr 18;Kupon Nr 18; Kupon Nr 18 ;Kupon Nr 19;Kupon Nr 19;Kupon Nr 19;Kupon Nr 19; Kupon Nr 19 ;Kupon Nr 20;Kupon Nr 20;Kupon Nr 20;Kupon Nr 20; Kupon Nr 20 ;Kupon Nr 21;Kupon Nr 21;Kupon Nr 21;Kupon Nr 21; Kupon Nr 21 ;Kupon Nr 22;Kupon Nr 22;Kupon Nr 22;Kupon Nr 22; Kupon Nr 22 ;Kupon Nr 23;Kupon Nr 23;Kupon Nr 23;Kupon Nr 23; Kupon Nr 23 ;Kupon Nr 24;Kupon Nr 24;Kupon Nr 24;Kupon Nr 24; Kupon Nr 24 ;Kupon Nr 25;Kupon Nr 25;Kupon Nr 25;Kupon Nr 25; Kupon Nr 25 ;Kupon Nr 26;Kupon Nr 26;Kupon Nr 26;Kupon Nr 26; Kupon Nr 26 ;Kupon Nr 27;Kupon Nr 27;Kupon Nr 27;Kupon Nr 27; Kupon Nr 27 ;Kupon Nr 28;Kupon Nr 28;Kupon Nr 28;Kupon Nr 28; Kupon Nr 28 ;Kupon Nr 29;Kupon Nr 29;Kupon Nr 29;Kupon Nr 29; Kupon Nr 29 ;Kupon Nr 30;Kupon Nr 30;Kupon Nr 30;Kupon Nr 30; Kupon Nr 30 
OS0797;PL0000100327;1997-07-12;17,00%;1995-04-05;1995-07-12;1995-07-05;1995-07-12;45,64;1995-07-12;1996-07-12;1996-07-05;1996-07-12; 170,00    ;1996-07-12;1997-07-12;1997-07-05;1997-07-14; 170,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OS0897;PL0000100350;1997-08-12;17,00%;1995-05-05;1995-08-12;1995-08-05;1995-08-14;46,11;1995-08-12;1996-08-12;1996-08-05;1996-08-12; 170,00    ;1996-08-12;1997-08-12;1997-08-05;1997-08-12; 170,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OS1097;PL0000100400;1997-10-12;17,00%;1995-09-05;1995-10-12;1995-10-05;1995-10-12;17,23;1995-10-12;1996-10-12;1996-10-01;1996-10-14; 170,00    ;1996-10-12;1997-10-12;1997-09-30;1997-10-13; 170,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OS0298;PL0000100434;1998-02-12;17,00%;1995-11-05;1996-02-12;1996-02-05;1996-02-12;46,11;1996-02-12;1997-02-12;1997-01-30;1997-02-12; 170,00    ;1997-02-12;1998-02-12;1998-01-30;1998-02-12; 170,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OS0698;PL0000100491;1998-06-12;16,00%;1996-03-05;1996-06-12;1996-06-05;1996-06-12;43,40;1996-06-12;1997-06-12;1997-05-30;1997-06-12; 160,00    ;1997-06-12;1998-06-12;1998-05-29;1998-06-12; 160,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OS1098;PL0000100566;1998-10-12;16,00%;1996-07-05;1996-10-12;1996-10-05;1996-10-14;43,40;1996-10-12;1997-10-12;1997-09-30;1997-10-13; 160,00    ;1997-10-12;1998-10-12;1998-09-29;1998-10-12; 160,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OS0299;PL0000100624;1999-02-12;16,00%;1996-11-05;1997-02-12;1997-02-05;1997-02-12;43,40;1997-02-12;1998-02-12;1998-01-30;1998-02-12; 160,00    ;1998-02-12;1999-02-12;1999-02-01;1999-02-12; 160,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OS0699;PL0000100186;1999-06-12;15,00%;1994-03-12;1994-06-12;1994-05-28;1994-06-13;37,81;1994-06-12;1995-06-12;1995-05-28;1995-06-12; 150,00    ;1995-06-12;1996-06-12;1996-05-28;1996-06-12; 150,00    ;1996-06-12;1997-06-12;1997-05-28;1997-06-12; 150,00    ;1997-06-12;1998-06-12;1998-05-28;1998-06-12; 150,00    ;1998-06-12;1999-06-12;1999-05-28;1999-06-14; 150,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AS0699;PL0000100715;1999-06-12;15,00%;1997-02-12;1997-06-12;1997-05-28;1997-06-12;49,32;1997-06-12;1998-06-12;1998-05-28;1998-06-12; 150,00    ;1998-06-12;1999-06-12;1999-05-28;1999-06-14; 150,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OS1099;PL0000100210;1999-10-12;15,00%;1994-07-12;1994-10-12;1994-10-05;1994-10-12;37,81;1994-10-12;1995-10-12;1995-10-05;1995-10-12; 150,00    ;1995-10-12;1996-10-12;1996-10-05;1996-10-14; 150,00    ;1996-10-12;1997-10-12;1997-10-05;1997-10-13; 150,00    ;1997-10-12;1998-10-12;1998-10-05;1998-10-12; 150,00    ;1998-10-12;1999-10-12;1999-10-05;1999-10-12; 150,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AS1099;PL0000100772;1999-10-12;15,00%;1997-06-12;1997-10-12;1997-10-05;1997-10-13;50,14;1997-10-12;1998-10-12;1998-10-05;1998-10-12; 150,00    ;1998-10-12;1999-10-12;1999-10-05;1999-10-12; 150,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OS0200;PL0000100269;2000-02-12;14,00%;1994-11-12;1995-02-12;1995-02-05;1995-02-13;35,29;1995-02-12;1996-02-12;1996-02-05;1996-02-12; 140,00    ;1996-02-12;1997-02-12;1997-02-05;1997-02-12; 140,00    ;1997-02-12;1998-02-12;1998-02-05;1998-02-12; 140,00    ;1998-02-12;1999-02-12;1999-02-05;1999-02-12; 140,00    ;1999-02-12;2000-02-12;2000-02-05;2000-02-14; 140,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AS0200;PL0000100855;2000-02-12;14,00%;1997-10-12;1998-02-12;1998-02-05;1998-02-12;47,18;1998-02-12;1999-02-12;1999-02-05;1999-02-12; 140,00    ;1999-02-12;2000-02-12;2000-02-05;2000-02-14; 140,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OS0600;PL0000100301;2000-06-12;14,00%;1995-02-12;1995-06-12;1995-06-05;1995-06-12;46,03;1995-06-12;1996-06-12;1996-06-05;1996-06-12; 140,00    ;1996-06-12;1997-06-12;1997-06-05;1997-06-12; 140,00    ;1997-06-12;1998-06-12;1998-05-29;1998-06-12; 140,00    ;1998-06-12;1999-06-12;1999-06-05;1999-06-14; 140,00    ;1999-06-12;2000-06-12;2000-06-05;2000-06-12; 140,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AS0600;PL0000100988;2000-06-12;14,00%;1998-02-12;1998-06-12;1998-05-29;1998-06-12;46,03;1998-06-12;1999-06-12;1999-06-05;1999-06-14; 140,00    ;1999-06-12;2000-06-12;2000-06-05;2000-06-12; 140,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OS0700;PL0000100335;2000-07-12;14,00%;1995-04-12;1995-07-12;1995-07-05;1995-07-12;34,90;1995-07-12;1996-07-12;1996-07-05;1996-07-12; 140,00    ;1996-07-12;1997-07-12;1997-07-05;1997-07-14; 140,00    ;1997-07-12;1998-07-12;1998-07-05;1998-07-13; 140,00    ;1998-07-12;1999-07-12;1999-07-05;1999-07-12; 140,00    ;1999-07-12;2000-07-12;2000-07-05;2000-07-12; 140,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OS0800;PL0000100368;2000-08-12;14,00%;1995-05-12;1995-08-12;1995-08-05;1995-08-14;35,29;1995-08-12;1996-08-12;1996-08-05;1996-08-12; 140,00    ;1996-08-12;1997-08-12;1997-08-05;1997-08-12; 140,00    ;1997-08-12;1998-08-12;1998-08-05;1998-08-12; 140,00    ;1998-08-12;1999-08-12;1999-08-05;1999-08-12; 140,00    ;1999-08-12;2000-08-12;2000-08-05;2000-08-14; 140,00    ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-;-;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;-;-;-;-; - ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
